area_type,availability,location,size,society,total_sqft,bath,balcony,price,month,ready,extract,address
Super built-up  Area,Ready To Move,Bellandur,3.0,others,7.477604243197589,3.0,1.0,4.6443908991413725,,Ready To Move,Ready To Move,"Bellandur,Bangalore,Karnataka,India"
Super built-up  Area,18-Nov, Thanisandra,1.0,Bhe 2ko,6.236369590203704,1.0,0.0,3.2676659890376327,Nov,,Nov," Thanisandra,Bangalore,Karnataka,India"
Super built-up  Area,18-May,Mangammanapalya,3.0,others,7.1316985104669115,3.0,2.0,4.04305126783455,May,,May,"Mangammanapalya,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Electronic City,2.0,Itelaa ,6.493753839851686,1.0,1.0,3.1822118404966093,,Ready To Move,Ready To Move,"Electronic City,Bangalore,Karnataka,India"
Built-up  Area,20-Dec,Whitefield,3.0,others,7.384610383176974,3.0,2.0,4.406719247264253,Dec,,Dec,"Whitefield,Bangalore,Karnataka,India"
Super built-up  Area,17-Oct,Ramagondanahalli,2.0,ViistLa,7.049254841255837,2.0,2.0,3.9074123928704627,Oct,,Oct,"Ramagondanahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Electronic City,3.0,KBityo ,6.933423025730715,2.0,1.0,3.871201010907891,,Ready To Move,Ready To Move,"Electronic City,Bangalore,Karnataka,India"
Super built-up  Area,19-Dec,Yelahanka,4.0,LedorSa,7.814399633804487,4.0,0.0,5.231108616854587,Dec,,Dec,"Yelahanka,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Bisuvanahalli,3.0,Prityel,6.98100574072173,2.0,1.0,3.58351893845611,,Ready To Move,Ready To Move,"Bisuvanahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Hebbal,3.0,Mahosya,7.473637108496206,2.0,2.0,4.820281565605037,,Ready To Move,Ready To Move,"Hebbal,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,GrrvaGr,7.434847875211999,3.0,3.0,4.067144642295446,,Ready To Move,Ready To Move,"Raja Rajeshwari Nagar,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Kasturi Nagar,3.0,Kantsce,7.563200592358071,3.0,2.0,4.836281906951478,,Ready To Move,Ready To Move,"Kasturi Nagar,Bangalore,Karnataka,India"
Super built-up  Area,21-Dec,Kanakpura Road,2.0,PrarePa,6.55250788703459,2.0,1.0,3.6109179126442243,Dec,,Dec,"Kanakpura Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,others,6.976348070447749,2.0,1.0,3.8394523125933104,,Ready To Move,Ready To Move,"Electronics City Phase 1,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kundalahalli,3.0,Dieldli,7.45298232946546,3.0,2.0,4.836281906951478,,Ready To Move,Ready To Move,"Kundalahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Chikkalasandra,3.0,others,7.1631723908466425,2.0,2.0,4.0451543180313285,,Ready To Move,Ready To Move,"Chikkalasandra,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Uttarahalli,2.0,others,7.042286171939743,2.0,2.0,3.828641396489095,,Ready To Move,Ready To Move,"Uttarahalli,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Murugeshpalya,2.0,Gentson,7.167809184316444,2.0,2.0,4.406719247264253,,Ready To Move,Ready To Move,"Murugeshpalya,Bangalore,Karnataka,India"
Super built-up  Area,19-Dec,Sarjapur  Road,3.0,Soini T,7.134890851565884,3.0,2.0,3.6635616461296463,Dec,,Dec,"Sarjapur  Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Ganga Nagar,1.0,Ceove G,6.398594934535208,1.0,0.0,3.6635616461296463,,Ready To Move,Ready To Move,"Ganga Nagar,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Yelahanka,1.0,others,6.493753839851686,1.0,0.0,3.8918202981106265,,Ready To Move,Ready To Move,"Yelahanka,Bangalore,Karnataka,India"
Super built-up  Area,19-Sep,Kanakpura Road,2.0,Soazak ,7.194241636852078,2.0,2.0,4.530338875365088,Sep,,Sep,"Kanakpura Road,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,HSR Layout,8.0,others,6.398594934535208,9.0,2.0,5.303304908059076,,Ready To Move,Ready To Move,"HSR Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Doddathoguru,2.0,LancyRe,6.878326468291325,2.0,0.0,3.5263605246161616,,Ready To Move,Ready To Move,"Doddathoguru,Bangalore,Karnataka,India"
Super built-up  Area,20-Sep,Whitefield,2.0,Goted U,7.286191714702382,2.0,1.0,4.562471431454976,Sep,,Sep,"Whitefield,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,KR Puram,2.0,others,6.68586094706836,1.0,1.0,4.875197323201151,,Ready To Move,Ready To Move,"KR Puram,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Himagiri Meadows,2.0,others,6.76849321164863,2.0,1.0,3.6109179126442243,,Ready To Move,Ready To Move,"Himagiri Meadows,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Adarsh Nagar,2.0,Bhncyis,7.147559271189454,2.0,1.0,3.9318256327243257,,Ready To Move,Ready To Move,"Adarsh Nagar,Bangalore,Karnataka,India"
Super built-up  Area,18-Mar,Bhoganhalli,3.0,Rosha I,7.421177528595393,3.0,1.0,4.605170185988092,Mar,,Mar,"Bhoganhalli,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Whitefield,3.0,Suent V,7.606387389772652,3.0,2.0,4.5217885770490405,,Ready To Move,Ready To Move,"Whitefield,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2.0,RothaVa,7.078341579557671,2.0,2.0,4.330733340286331,,Ready To Move,Ready To Move,"Lakshminarayana Pura,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Yelahanka,3.0,NCowsar,7.3783837129967145,2.0,3.0,4.330733340286331,,Ready To Move,Ready To Move,"Yelahanka,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Begur Road,2.0,Dhalsh ,7.0909098220799835,2.0,2.0,3.8066624897703196,,Ready To Move,Ready To Move,"Begur Road,Bangalore,Karnataka,India"
Built-up  Area,20-Feb,Devanahalli,4.0,BrereAt,8.074337694089515,2.0,2.0,5.262690188904886,Feb,,Feb,"Devanahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2.0,PeBayle,7.313886831633462,2.0,2.0,5.225746673713202,,Ready To Move,Ready To Move,"Ramakrishnappa Layout,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Murugeshpalya,6.0,others,7.249925536717988,4.0,1.0,5.017279836814924,,Ready To Move,Ready To Move,"Murugeshpalya,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2.0,others,6.734591659972948,2.0,2.0,3.828641396489095,,Ready To Move,Ready To Move,"Govindaraja Nagar Ward,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Tharabanahalli,3.0,others,8.388450315523512,3.0,2.0,5.484796933490655,,Ready To Move,Ready To Move,"Tharabanahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Ganga Nagar,2.0,Laavevi,6.740519359606223,2.0,1.0,4.02535169073515,,Ready To Move,Ready To Move,"Ganga Nagar,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Whitefield,4.0,Chranya,8.648396877031582,5.0,3.0,6.478509642208569,,Ready To Move,Ready To Move,"Whitefield,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Varthur,2.0,HioraTr,7.057036981697891,2.0,2.0,3.8066624897703196,,Ready To Move,Ready To Move,"Varthur,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Bommanahalli,8.0,others,8.006700845440367,8.0,0.0,4.948759890378168,,Ready To Move,Ready To Move,"Bommanahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Doddathoguru,2.0,others,7.00397413672268,2.0,1.0,4.143134726391533,,Ready To Move,Ready To Move,"Doddathoguru,Bangalore,Karnataka,India"
Super built-up  Area,18-Apr,Gunjur,2.0,BMineis,7.039660349862076,2.0,3.0,3.784189633918261,Apr,,Apr,"Gunjur,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Marathahalli,2.0,others,7.107425474110705,2.0,1.0,4.060443010546419,,Ready To Move,Ready To Move,"Marathahalli,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Devarachikkanahalli,8.0,others,7.208600337960199,7.0,0.0,4.454347296253507,,Ready To Move,Ready To Move,"Devarachikkanahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kanakpura Road,2.0,others,6.913737350659685,2.0,1.0,3.629129449708162,,Ready To Move,Ready To Move,"Kanakpura Road,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Double Road,3.0,others,6.2166061010848646,3.0,2.0,4.61512051684126,,Ready To Move,Ready To Move,"Double Road,Bangalore,Karnataka,India"
Super built-up  Area,20-Aug,Begur Road,2.0,Pruthg ,7.214504414151143,2.0,1.0,4.401584133889412,Aug,,Aug,"Begur Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Hegde Nagar,3.0,Sonosty,7.358830898342354,3.0,1.0,4.624972813284271,,Ready To Move,Ready To Move,"Hegde Nagar,Bangalore,Karnataka,India"
Super built-up  Area,18-Apr,Haralur Road,2.0,SNnia E,7.123672785204607,2.0,1.0,4.2626798770413155,Apr,,Apr,"Haralur Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Hennur Road,3.0,Anavi B,7.644919344958857,3.0,2.0,4.948759890378168,,Ready To Move,Ready To Move,"Hennur Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kothannur,2.0,others,7.095893221097532,2.0,1.0,3.8965031937701093,,Ready To Move,Ready To Move,"Kothannur,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,others,7.048386408721883,2.0,3.0,3.713572066704308,,Ready To Move,Ready To Move,"Kalena Agrahara,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Cholanayakanahalli,3.0,Viony H,7.828834527588089,3.0,3.0,5.327876168789581,,Ready To Move,Ready To Move,"Cholanayakanahalli,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Kaval Byrasandra,2.0,others,6.133398042996649,1.0,0.0,3.1354942159291497,,Ready To Move,Ready To Move,"Kaval Byrasandra,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,ISRO Layout,6.0,others,8.38958706681109,6.0,3.0,5.5254529391317835,,Ready To Move,Ready To Move,"ISRO Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3.0,AdentEl,7.415175109613295,2.0,2.0,4.663439094112067,,Ready To Move,Ready To Move,"Kodanda Reddy Layout,Bangalore,Karnataka,India"
Built-up  Area,18-Oct,Hennur Road,4.0,Gollela,8.07231135094428,2.0,2.0,5.418320158942733,Oct,,Oct,"Hennur Road,Bangalore,Karnataka,India"
Super built-up  Area,19-Mar,Yelahanka,2.0,Niareum,7.190676034332207,2.0,2.0,4.3694478524670215,Mar,,Mar,"Yelahanka,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Garudachar Palya,3.0,others,7.189922170745808,2.0,2.0,4.123903364463645,,Ready To Move,Ready To Move,"Garudachar Palya,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,EPIP Zone,3.0,SJlynro,7.313220387090301,5.0,2.0,4.634728988229636,,Ready To Move,Ready To Move,"EPIP Zone,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Hegde Nagar,6.0,others,8.006700845440367,7.0,2.0,5.351858133476067,,Ready To Move,Ready To Move,"Hegde Nagar,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kanakpura Road,3.0,others,7.418180822726788,3.0,2.0,4.48863636973214,,Ready To Move,Ready To Move,"Kanakpura Road,Bangalore,Karnataka,India"
Super built-up  Area,17-Sep,Dasanapura,2.0,Tavenew,6.5638555265321274,2.0,2.0,3.6375861597263857,Sep,,Sep,"Dasanapura,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kasavanhalli,2.0,Srire S,6.966967138613983,2.0,2.0,4.078553876315777,,Ready To Move,Ready To Move,"Kasavanhalli,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Rajaji Nagar,6.0,others,6.566672429803241,6.0,3.0,5.081404364984463,,Ready To Move,Ready To Move,"Rajaji Nagar,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Sanjay nagar,2.0,Saenti ,6.90875477931522,2.0,2.0,4.2626798770413155,,Ready To Move,Ready To Move,"Sanjay nagar,Bangalore,Karnataka,India"
Super built-up  Area,18-Dec,Electronic City,2.0,others,6.90875477931522,2.0,1.0,3.3971893602646164,Dec,,Dec,"Electronic City,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move, Mysore Highway,3.0,others,7.280008252884188,2.0,2.0,4.2626798770413155,,Ready To Move,Ready To Move," Mysore Highway,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,ISRO Layout,4.0,others,7.0909098220799835,4.0,2.0,5.049856007249537,,Ready To Move,Ready To Move,"ISRO Layout,Bangalore,Karnataka,India"
Super built-up  Area,17-Aug,Thanisandra,2.0,Bhmesy ,7.167809184316444,2.0,3.0,4.394449154672439,Aug,,Aug,"Thanisandra,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Domlur,3.0,others,7.340186835320115,3.0,2.0,4.51085950651685,,Ready To Move,Ready To Move,"Domlur,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Kengeri,4.0,Goardth,7.970740390007095,4.0,1.0,5.5053315359323625,,Ready To Move,Ready To Move,"Kengeri,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3.0,others,7.193685818395112,2.0,1.0,3.8918202981106265,,Ready To Move,Ready To Move,"Sarjapura - Attibele Road,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Devasthanagalu,2.0,others,7.0909098220799835,2.0,1.0,4.189654742026425,,Ready To Move,Ready To Move,"Devasthanagalu,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,T Dasarahalli,3.0,others,7.0909098220799835,3.0,1.0,4.51085950651685,,Ready To Move,Ready To Move,"T Dasarahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Yeshwanthpur,3.0,IBityin,7.8252452914317745,3.0,3.0,4.9344739331306915,,Ready To Move,Ready To Move,"Yeshwanthpur,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Chandapura,2.0,KHityry,6.478509642208569,1.0,1.0,2.8903717578961645,,Ready To Move,Ready To Move,"Chandapura,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Kothanur,3.0,BDensar,7.783640596221253,2.0,1.0,5.017279836814924,,Ready To Move,Ready To Move,"Kothanur,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Green View Layout,2.0,Makeser,6.915723448631314,2.0,2.0,3.784189633918261,,Ready To Move,Ready To Move,"Green View Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Shantiniketan Layout,2.0,Maest N,7.0909098220799835,2.0,2.0,3.9318256327243257,,Ready To Move,Ready To Move,"Shantiniketan Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Peenya,2.0,others,6.874198495453294,2.0,2.0,3.929862923556477,,Ready To Move,Ready To Move,"Peenya,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Nagarbhavi,3.0,others,7.396948602621014,2.0,1.0,4.59511985013459,,Ready To Move,Ready To Move,"Nagarbhavi,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Rajaji Nagar,3.0,Brway G,7.403061091090091,3.0,2.0,5.438079308923196,,Ready To Move,Ready To Move,"Rajaji Nagar,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Jalahalli West,2.0,others,6.663132695990803,2.0,2.0,4.03742141482248,,Ready To Move,Ready To Move,"Jalahalli West,Bangalore,Karnataka,India"
Super built-up  Area,19-Apr,Devanahalli,2.0,Oznuean,7.13966033596492,2.0,2.0,4.2162671661789055,Apr,,Apr,"Devanahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3.0,others,7.496097345175956,3.0,3.0,4.795790545596741,,Ready To Move,Ready To Move,"Lakshmiamma Garden,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Byatarayanapura,3.0,Reeroce,7.254177846456518,2.0,2.0,4.330733340286331,,Ready To Move,Ready To Move,"Byatarayanapura,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Whitefield,2.0,Sonviik,7.018401799069201,2.0,1.0,3.9685923569160404,,Ready To Move,Ready To Move,"Whitefield,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Electronic City,3.0,DSgmax ,7.333676395657684,2.0,1.0,3.8480176754522337,,Ready To Move,Ready To Move,"Electronic City,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Ramamurthy Nagar,4.0,others,8.216358332386156,4.0,1.0,5.420534999272286,,Ready To Move,Ready To Move,"Ramamurthy Nagar,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Sarjapur  Road,3.0,Cetattu,7.823245690685523,3.0,2.0,4.948759890378168,,Ready To Move,Ready To Move,"Sarjapur  Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kengeri,3.0,Vaens G,7.340186835320115,2.0,3.0,4.174387269895637,,Ready To Move,Ready To Move,"Kengeri,Bangalore,Karnataka,India"
Super built-up  Area,18-Dec,Thanisandra,3.0,others,7.270312886079025,3.0,1.0,4.327438444389479,Dec,,Dec,"Thanisandra,Bangalore,Karnataka,India"
Super built-up  Area,18-Jun,Malleshwaram,2.0,others,7.00397413672268,2.0,2.0,4.330733340286331,Jun,,Jun,"Malleshwaram,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Hennur Road,2.0,others,5.6240175061873385,3.0,3.0,3.1780538303479458,,Ready To Move,Ready To Move,"Hennur Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Thanisandra,3.0,Moity S,7.2640301428995295,3.0,2.0,4.795790545596741,,Ready To Move,Ready To Move,"Thanisandra,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,HiahsLa,7.631431664576906,3.0,1.0,5.303304908059076,,Ready To Move,Ready To Move,"Akshaya Nagar,Bangalore,Karnataka,India"
Super built-up  Area,18-Mar,Hebbal,4.0,SNontle,8.63275153205051,4.0,0.0,6.169610732491456,Mar,,Mar,"Hebbal,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Shampura,4.0,others,7.8826922062890254,4.0,2.0,5.017279836814924,,Ready To Move,Ready To Move,"Shampura,Bangalore,Karnataka,India"
Super built-up  Area,22-Dec,Devanahalli,3.0,Sabixtt,7.1569563646156364,2.0,2.0,4.241614480957137,Dec,,Dec,"Devanahalli,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Kadugodi,2.0,others,6.957497370876951,2.0,1.0,3.5553480614894135,,Ready To Move,Ready To Move,"Kadugodi,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,LB Shastri Nagar,3.0,Sragei ,7.3783837129967145,3.0,2.0,4.189654742026425,,Ready To Move,Ready To Move,"LB Shastri Nagar,Bangalore,Karnataka,India"
Super built-up  Area,22-Jan,Vajarahalli,2.0,others,6.852242569051878,2.0,1.0,4.007333185232471,Jan,,Jan,"Vajarahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Hormavu,2.0,SyidaCr,7.313886831633462,2.0,1.0,4.3694478524670215,,Ready To Move,Ready To Move,"Hormavu,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Vishwapriya Layout,7.0,others,6.85751406254539,7.0,0.0,4.7535901911063645,,Ready To Move,Ready To Move,"Vishwapriya Layout,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Peenya,3.0,Jahts H,7.534228326274089,3.0,3.0,4.709530201312334,,Ready To Move,Ready To Move,"Peenya,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Sarjapur,3.0,Inensba,7.3783837129967145,3.0,1.0,4.330733340286331,,Ready To Move,Ready To Move,"Sarjapur,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Electronic City,2.0,Itelaa ,6.78105762593618,1.0,1.0,2.8622008809294686,,Ready To Move,Ready To Move,"Electronic City,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4.0,others,7.0909098220799835,4.0,0.0,5.351858133476067,,Ready To Move,Ready To Move,"Ramaswamy Palya - Kammanahalli Main Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kudlu Gate,3.0,Srier P,7.336936913707618,3.0,2.0,4.430816798843313,,Ready To Move,Ready To Move,"Kudlu Gate,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Kanakpura Road,2.0,Wiowsri,6.85751406254539,2.0,1.0,4.060443010546419,,Ready To Move,Ready To Move,"Kanakpura Road,Bangalore,Karnataka,India"
Super built-up  Area,18-Aug,Devanahalli,2.0,Derdsig,7.215975002651466,2.0,1.0,4.189654742026425,Aug,,Aug,"Devanahalli,Bangalore,Karnataka,India"
Super built-up  Area,19-Mar,8th Phase JP Nagar,2.0,Vaarech,6.979610716082565,2.0,0.0,4.007424090191399,Mar,,Mar,"8th Phase JP Nagar,Bangalore,Karnataka,India"
Super built-up  Area,18-May,Bommasandra Industrial Area,3.0,others,7.155396301896734,3.0,1.0,3.9396381724611196,May,,May,"Bommasandra Industrial Area,Bangalore,Karnataka,India"
Super built-up  Area,19-Jan,Chandra Layout,3.0,TiaksAa,7.13966033596492,2.0,2.0,4.454928522657548,Jan,,Jan,"Chandra Layout,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Hennur Road,8.0,others,8.517393171418904,8.0,2.0,5.5254529391317835,,Ready To Move,Ready To Move,"Hennur Road,Bangalore,Karnataka,India"
Super built-up  Area,19-Dec,Yelahanka,5.0,LedorSa,8.02322468471667,5.0,1.0,5.365976015021851,Dec,,Dec,"Yelahanka,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kasavanhalli,3.0,HMwerCo,7.355033889903712,3.0,1.0,4.663439094112067,,Ready To Move,Ready To Move,"Kasavanhalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,ISRO Layout,2.0,others,6.90875477931522,2.0,1.0,4.110873864173311,,Ready To Move,Ready To Move,"ISRO Layout,Bangalore,Karnataka,India"
Super built-up  Area,17-Jul,Anandapura,2.0,ViensRK,7.0630481633881725,2.0,1.0,3.8013148834437245,Jul,,Jul,"Anandapura,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7.0,others,8.294299608857235,7.0,2.0,5.420534999272286,,Ready To Move,Ready To Move,"Vishveshwarya Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kothanur,3.0,Somumys,7.511524648390866,3.0,2.0,4.709530201312334,,Ready To Move,Ready To Move,"Kothanur,Bangalore,Karnataka,India"
