address,place_name,relevance,longitude,lattitude
"Manayata Tech Park,Bangalore,Karnataka,India","Manayata Tech Park, Nagavara, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.621027,13.04574
"Kengeri,Bangalore,Karnataka,India","Kengeri, Bengaluru, Karnataka 560060, India",1.0,77.48132050000001,12.908838
"Binny Pete,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.683333,77.5913,12.97912
"Thanisandra,Bangalore,Karnataka,India","Thanisandra, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.626721,13.048223
"Bellandur,Bangalore,Karnataka,India","Bellandur, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.677042,12.929211
" Thanisandra,Bangalore,Karnataka,India","Thanisandra, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.626721,13.048223
"Mangammanapalya,Bangalore,Karnataka,India","Mangammanapalya, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.632374,12.905811
"Electronic City,Bangalore,Karnataka,India","Electronic City, Anekal, Bengaluru Urban, Karnataka, India",0.990889,77.680243,12.836273
"Ramagondanahalli,Bangalore,Karnataka,India","Ramagondanahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.558619,13.119647
"Yelahanka,Bangalore,Karnataka,India","Yelahanka, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.596345,13.100698
"Hebbal,Bangalore,Karnataka,India","Hebbal, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.5919,13.038218
"Kasturi Nagar,Bangalore,Karnataka,India","Kasturi Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.660323,13.004498
"Kanakpura Road,Bangalore,Karnataka,India","HSR Services, Bengaluru, Karnataka 560078, India",0.99869,77.5724,12.896796
"Electronics City Phase 1,Bangalore,Karnataka,India","Electronics City Phase 1, Electronic City, Anekal, Bengaluru Urban, Karnataka, India",1.0,77.667775,12.836318
"Kundalahalli,Bangalore,Karnataka,India","Kundalahalli, Brookefield, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.718784,12.968444
"Chikkalasandra,Bangalore,Karnataka,India","Chikkalasandra, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.547634,12.912192
"Murugeshpalya,Bangalore,Karnataka,India","Murugeshpalya, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.657571,12.956128
"Sarjapur  Road,Bangalore,Karnataka,India","Sarjapura Road, 560035, Kaikondrahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.687841195793,12.90982715
"Ganga Nagar,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.683333,77.5913,12.97912
"HSR Layout,Bangalore,Karnataka,India","HSR Layout, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.638862,12.911623
"Doddathoguru,Bangalore,Karnataka,India","Doddathoguru, Electronic City, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.655615,12.852913
"KR Puram,Bangalore,Karnataka,India","KR Puram, Shivamogga, Shivamogga, Karnataka, India",0.772222,75.580094,13.92881
"Himagiri Meadows,Bangalore,Karnataka,India","Himagiri Meadows, Gottigere, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.592618,12.862167
"Adarsh Nagar,Bangalore,Karnataka,India","Adarsh Nagar, Vijayanagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.519014,12.970238
"Bhoganhalli,Bangalore,Karnataka,India","Bhoganhalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.698998,12.918217
"Lakshminarayana Pura,Bangalore,Karnataka,India","Lakshminarayana Pura, Chinnapanna Halli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.710023,12.958131
"Begur Road,Bangalore,Karnataka,India","Begur Road, Bommanahalli, 560068, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.6242766,12.9054849
"Devanahalli,Bangalore,Karnataka,India","Devanahalli, Karnataka, India",0.87,77.713438,13.24835
"Govindaraja Nagar Ward,Bangalore,Karnataka,India","Govindaraja Nagar Ward, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.514592,12.973121
"Tharabanahalli,Bangalore,Karnataka,India","Tharabanahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.480435,13.102478
"Varthur,Bangalore,Karnataka,India","Varthur, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.746994,12.940615
"Bommanahalli,Bangalore,Karnataka,India","Bommanahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.623904,12.908945
"Gunjur,Bangalore,Karnataka,India","Gunjur, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.736102,12.920977
"Devarachikkanahalli,Bangalore,Karnataka,India","Devarachikkana Halli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.618244,12.881115
"Double Road,Bangalore,Karnataka,India","Kengal Hanumanthaiah Road, 560027, Shanti Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.5927415,12.9572348
"Hegde Nagar,Bangalore,Karnataka,India","Hegde Nagar Market, Bengaluru, Karnataka 560077, India",0.946667,77.633709,13.072061
"Haralur Road,Bangalore,Karnataka,India","Haralur Road, 560102, Kasavanahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.6709826507025,12.90666275
"Hennur Road,Bangalore,Karnataka,India","Hennur Road, Telecom Layout, 560043, HBR Layout, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.6312977,13.0359535
"Kothannur,Bangalore,Karnataka,India","Kothanur, Bengaluru, Bengaluru Urban, Karnataka, India",0.996111,77.649389,13.06136
"Kalena Agrahara,Bangalore,Karnataka,India","Kalena Agrahara, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.588993,12.863864
"Cholanayakanahalli,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.75,77.5913,12.97912
"Kaval Byrasandra,Bangalore,Karnataka,India","Byrasandra, C V Raman Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",0.81,77.667778,12.980546
"ISRO Layout,Bangalore,Karnataka,India","Isro Colony, HMT Estate, Bengaluru, Bengaluru Urban, Karnataka, India",0.77,77.534552,13.044307
"Kodanda Reddy Layout,Bangalore,Karnataka,India","Reddy Street, 560064, Central Reserve Police Force Area, Bengaluru, Bengaluru Urban, Karnataka, India",0.713704,77.5696309,13.114818
"Garudachar Palya,Bangalore,Karnataka,India","Palya, Devanahalli, Bengaluru Rural, Karnataka, India",0.7,77.79048,13.231166
"EPIP Zone,Bangalore,Karnataka,India","EPIP Zone, Brookefield, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.712509,12.970573
"Dasanapura,Bangalore,Karnataka,India","Dasanapura, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.436479,13.07589
"Kasavanhalli,Bangalore,Karnataka,India","Kasavanahalli, Bengaluru, Bengaluru Urban, Karnataka, India",0.999583,77.677106,12.909713
"Sanjay nagar,Bangalore,Karnataka,India","Sanjay Nagar, Marathahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.694631,12.972486
" Mysore Highway,Bangalore,Karnataka,India","Mysore Bank, Bengaluru, Karnataka 560009, India",0.77,77.581551,12.972808
"Domlur,Bangalore,Karnataka,India","Domlur, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.638196,12.962467
"Sarjapura - Attibele Road,Bangalore,Karnataka,India","Sarjapura, Anekal, Bengaluru Urban, Karnataka, India",0.76,77.786135,12.860087
"Devasthanagalu,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.75,77.5913,12.97912
"T Dasarahalli,Bangalore,Karnataka,India","T. Dasarahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.513943,13.046049
"Yeshwanthpur,Bangalore,Karnataka,India","Yeshwanthpur, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.552921,13.02383
"Chandapura,Bangalore,Karnataka,India","Chandapura, Anekal, Bengaluru Urban, Karnataka, India",0.99,77.706283,12.800444
"Green View Layout,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.638889,77.5913,12.97912
"Shantiniketan Layout,Bangalore,Karnataka,India","Shantiniketan Layout, Arekere, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.604793,12.882802
"Peenya,Bangalore,Karnataka,India","Peenya, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.527325,13.032942
"Nagarbhavi,Bangalore,Karnataka,India","Nagarbhavi, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.513078,12.966418
"Jalahalli West,Bangalore,Karnataka,India","Jalahalli West, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.512154,13.060794
"Lakshmiamma Garden,Bangalore,Karnataka,India","Lakshmiamma Garden, Shanti Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.598137,12.957801
"Byatarayanapura,Bangalore,Karnataka,India","Byatarayanapura, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.594775,13.063012
"Ramamurthy Nagar,Bangalore,Karnataka,India","Ramamurthy Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.677782,13.012022
"Malleshwaram,Bangalore,Karnataka,India","Malleshwaram, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.570325,13.002735
"Akshaya Nagar,Bangalore,Karnataka,India","Akshya Nagar, Ramamurthy Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",0.997821,77.683885,13.023082
"Shampura,Bangalore,Karnataka,India","Shampura, Kaval Bairasandra, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.612345,13.030802
"Kadugodi,Bangalore,Karnataka,India","Kadugodi, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.721828,13.000854
"LB Shastri Nagar,Bangalore,Karnataka,India","Shastri Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",0.824815,77.573187,12.932149
"Vajarahalli,Bangalore,Karnataka,India","Vajarahalli, Ramanagara, Ramanagara, Karnataka, India",0.875,77.391134,12.823898
"Hormavu,Bangalore,Karnataka,India","Horamavu, Bengaluru, Bengaluru Urban, Karnataka, India",0.992143,77.660151,13.027331
"Vishwapriya Layout,Bangalore,Karnataka,India","Vishwapriya Nagar, Begur, Bengaluru, Bengaluru Urban, Karnataka, India",0.77,77.626669,12.881082
"Ramaswamy Palya - Kammanahalli Main Road,Bangalore,Karnataka,India","Kammanahalli Main Road, Kammanahalli, 560043, Kacharakanahalli, Bengaluru, Bengaluru Urban, Karnataka, India",0.787778,77.6371117,13.0217349
"Kudlu Gate,Bangalore,Karnataka,India","Kudlu Gate, Anekal, Bengaluru Urban, Karnataka, India",1.0,77.641193,12.89163
"8th Phase JP Nagar,Bangalore,Karnataka,India","8th Phase, JP Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.576131,12.881281
"Bommasandra Industrial Area,Bangalore,Karnataka,India","Bommasandra Industrial Area, Anekal, Bengaluru Urban, Karnataka, India",1.0,77.67907,12.817413
"Chandra Layout,Bangalore,Karnataka,India","Chandra Layout, Marathahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.703545,12.955167
"Anandapura,Bangalore,Karnataka,India","Anandapura, Battarahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.694093,13.025071
"Vishveshwarya Layout,Bangalore,Karnataka,India","Vishveshwaraya Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",0.763846,77.476615,12.971378
"Kengeri Satellite Town,Bangalore,Karnataka,India","Kengeri Satellite Town, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.486964,12.923649
"Basavanapura,Bangalore,Karnataka,India","Basavanapura, Krishnarajapuram, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.713311,13.013829
"Dinnur,Bangalore,Karnataka,India","Dinnur, Hebbal, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.597764,13.026708
"Kannamangala,Bangalore,Karnataka,India","Kannamangala, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.762795,13.030285
" Devarachikkanahalli,Bangalore,Karnataka,India","Devarachikkana Halli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.618244,12.881115
"Sanjeevini Nagar,Bangalore,Karnataka,India","Sanjeevini Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.585298,13.053315
"Hulimavu,Bangalore,Karnataka,India","Hulimavu, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.602803,12.877349
"Mahalakshmi Layout,Bangalore,Karnataka,India","Anjaneya Temple, Mahalakshmi Layout, Bengaluru, Karnataka 560086, India",1.0,77.546567,13.009576
"Yarandahalli,Bangalore,Karnataka,India","Yarandahalli, Anekal, Bengaluru Urban, Karnataka, India",0.99,77.659102,12.806085
"Hosa Road,Bangalore,Karnataka,India","Hosa Road, Pragathi Nagar, 560100, Basapura, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.6573436,12.8702985
"Keshava Nagar,Bangalore,Karnataka,India","Keshava Nagar, Binnipete, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.563799,12.972428
"RMV Extension,Bangalore,Karnataka,India","RMV, Sanjaynagar, Bengaluru, Bengaluru Urban, Karnataka, India",0.81,77.577813,13.040641
"Tejaswini Nagar,Bangalore,Karnataka,India","Tejaswini Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.60523,12.858716
"Jai Bheema Nagar,Bangalore,Karnataka,India","Jai Bheema Nagar, Sampangiram Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.5738,12.993516
"Kothnur Narayanapura,Bangalore,Karnataka,India","Narayanapura, Bengaluru, Bengaluru Urban, Karnataka, India",0.81,77.647345,13.065686
"Attibele,Bangalore,Karnataka,India","Attibele, Anekal, Bengaluru Urban, Karnataka, India",0.99,77.771283,12.778259
"CV Raman Nagar,Bangalore,Karnataka,India","C V Raman Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.664977,12.985648
"CHIKKATIRUPATHI,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.75,77.5913,12.97912
"Kumaraswami Layout,Bangalore,Karnataka,India","Kumaraswamy Layout, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.562166,12.899531
"Nagavara,Bangalore,Karnataka,India","Nagavara, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.623602,13.037465
"Hebbal Kempapura,Bangalore,Karnataka,India","Hebbal Kempapura, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.601811,13.052102
"Vijayanagar,Bangalore,Karnataka,India","Vijayanagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.539357,12.970247
"8th block Koramangala,Bangalore,Karnataka,India","Koramangala, Bengaluru, Bengaluru Urban, Karnataka, India",0.750741,77.62223,12.934011
"Jakkuru Layout,Bangalore,Karnataka,India","Jakkuru Layout, Jakkuru, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.601188,13.070188
"Pattandur Agrahara,Bangalore,Karnataka,India","Pattandur Agrahara, Whitefield, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.73937,12.987666
"Ejipura,Bangalore,Karnataka,India","Ejipura, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.626914,12.945245
"MS Pallya,Bangalore,Karnataka,India","Ms Palya Circle, Mohammed Sab Palya, 560097, Vidyaranyapura, Bengaluru, Bengaluru Urban, Karnataka, India",0.932593,77.5483847,13.0816898
"Nagasandra,Bangalore,Karnataka,India","Nagasandra, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.501693,13.043664
"Langford Town,Bangalore,Karnataka,India","Langford Town, Shanti Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.603731,12.957998
"Kogilu,Bangalore,Karnataka,India","Kogilu, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.609268,13.098147
"Panathur,Bangalore,Karnataka,India","Panathur, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.704754,12.935146
"Nagondanahalli,Bangalore,Karnataka,India","Nagondanahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.77034,12.97516
"Padmanabhanagar,Bangalore,Karnataka,India","Padmanabhanagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.552839,12.916581
"1st Block Jayanagar,Bangalore,Karnataka,India","Jayanagar, Bengaluru, Bengaluru Urban, Karnataka, India",0.750741,77.582423,12.929273
"Kammasandra,Bangalore,Karnataka,India","Kammasandra, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.439122,13.034502
"Off Sarjapur Road, ,Bangalore,Karnataka,India","Sarjapura Road, 560035, Kaikondrahalli, Bengaluru, Bengaluru Urban, Karnataka, India",0.824815,77.687841195793,12.90982715
"Tala Cauvery Layout,Bangalore,Karnataka,India","Cauvery Nagar, Vijayanagar, Bengaluru, Bengaluru Urban, Karnataka, India",0.713704,77.523026,12.978716
"Dasarahalli,Bangalore,Karnataka,India","Dasarahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.611528,13.056246
"Magadi Road,Bangalore,Karnataka,India","Magadi Road, 560023, Binnipete, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.5550299,12.9752737
"Ngef Layout,Bangalore,Karnataka,India","NGEF Layout, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.494027,12.960576
"Koramangala,Bangalore,Karnataka,India","Koramangala, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.62223,12.934011
"Lakshminarayanapura, Electronic City Phase 2,Bangalore,Karnataka,India","Electronic City, Anekal, Bengaluru Urban, Karnataka, India",0.786667,77.680243,12.836273
"Muthurayya Swamy Layout,Bangalore,Karnataka,India","Muthurayya Swamy Layout, Hulimavu, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.601122,12.874301
"Dommasandra,Bangalore,Karnataka,India","Dommasandra, Anekal, Bengaluru Urban, Karnataka, India",0.99,77.753477,12.87771
"Budigere,Bangalore,Karnataka,India","Budigere, Devanahalli, Bengaluru Rural, Karnataka, India",0.875,77.74957,13.13514
"Dodda Nekkundi Extension,Bangalore,Karnataka,India","Dodda Nekkundi Extension, Kartik Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.704073,12.970606
"Mylasandra,Bangalore,Karnataka,India","Mylasandra, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.617831,12.851489
"Kalyan nagar,Bangalore,Karnataka,India","Kalyan Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.640337,13.022142
"Dr Shivarama Karantha Nagar,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.607143,77.5913,12.97912
"Bank Of Baroda Colony,Bangalore,Karnataka,India","Bank of Baroda, Bengaluru, Karnataka 560050, India",0.835397,77.556582,12.938293
"Kullappa Colony,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.683333,77.5913,12.97912
"Mukkutam Nagar,Bangalore,Karnataka,India","Mukkutam Nagar, Ramamurthy Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.664296,13.013157
"Ashwath Nagar,Bangalore,Karnataka,India","Ashwath Nagar, Sampangi Rama Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.590858,12.966734
"Ncpr Industrial Layout,Bangalore,Karnataka,India","Industrial Layout, Begur, Bengaluru, Bengaluru Urban, Karnataka, India",0.824815,77.639431,12.888507
"Meenakunte,Bangalore,Karnataka,India","Meenakunte, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.639137,13.182639
"OMBR Layout,Bangalore,Karnataka,India","OMBR Layout, Banaswadi, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.649898,13.008229
"Anand Nagar,Bangalore,Karnataka,India","Anand Nagar, Hubli, Dharwad, Karnataka, India",0.772222,75.10945,15.339409
"Shree Ananth Nagar Layout,Bangalore,Karnataka,India","Ananth Nagar, Anekal, Bengaluru Urban, Karnataka, India",0.826032,77.684897,12.835916
"Kundalahalli Colony,Bangalore,Karnataka,India","Kundalahalli Colony, Brookefield, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.711694,12.969909
"Horamavu Agara,Bangalore,Karnataka,India","Horamavu Agara, Horamavu, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.659903,13.0344
"MCECHS  layout,Bangalore,Karnataka,India","Mcechs Layout Main Road, M.C.E.C.H.S. Layout 1st Phase, 560077, R.K. Hegde Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",0.946667,77.6263827,13.0688327
"Coffee Board Layout,Bangalore,Karnataka,India","Coffee Board Layout, Nagavara, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.60608,13.050325
"Ambedkar Nagar,Bangalore,Karnataka,India","Ambedkar Nagar, Whitefield, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.754105,12.979853
"KUDLU MAIN ROAD,Bangalore,Karnataka,India","Main Road, 560075, New Tippasandra, Bengaluru, Bengaluru Urban, Karnataka, India",0.824815,77.6558398,12.9704842
"Geleyara Balaga Layout,Bangalore,Karnataka,India","Geleyara Balaga Layout, Jalahalli West, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.507674,13.068498
"Talaghattapura,Bangalore,Karnataka,India","Talaghattapura, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.535669,12.869817
"Sundara Nagar,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.683333,77.5913,12.97912
"Balagere,Bangalore,Karnataka,India","Balagere Road, 560087, Varthur, Bengaluru, Bengaluru Urban, Karnataka, India",0.96,77.7381639,12.9393071
"Jigani,Bangalore,Karnataka,India","Jigani, Anekal, Bengaluru Urban, Karnataka, India",0.99,77.638093,12.785253
"Gollarapalya Hosahalli,Bangalore,Karnataka,India","Gollarapalya Hosahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.48119,12.993797
"Srirampura,Bangalore,Karnataka,India","Srirampura, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.563809,12.990987
"Old Madras Road,Bangalore,Karnataka,India","Old Madras Road, Pai Layout, 560016, Mahadevapura, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.6697547,12.9970117
"Kaggadasapura,Bangalore,Karnataka,India","Kaggadasapura, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.674812,12.975113
"Silver Springs Layout,Bangalore,Karnataka,India","Silver Springs Layout, Munnekollal, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.712251,12.9556
"9th Phase JP Nagar,Bangalore,Karnataka,India","9th Phase, JP Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.578997,12.873076
"Jakkur,Bangalore,Karnataka,India","Jakkuru, Bengaluru, Bengaluru Urban, Karnataka, India",0.989167,77.606894,13.078474
"TC Palaya,Bangalore,Karnataka,India","Tc Palaya Road, 560016, Krishnarajapuram, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.6930892,13.0098552
"Maruthi Sevanagar,Bangalore,Karnataka,India","Maruthi Sevanagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.629968,13.000122
"RMV 2nd Stage,Bangalore,Karnataka,India","RMV 2nd Stage, Armane Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.578982,13.02299
"Giri Nagar,Bangalore,Karnataka,India","Giri Nagar, Banashankari, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.546423,12.942237
"Singasandra,Bangalore,Karnataka,India","Singasandra, Anekal, Bengaluru Urban, Karnataka, India",0.99,77.649914,12.888022
"AECS Layout,Bangalore,Karnataka,India","AECS Layout, Singasandra, Anekal, Bengaluru Urban, Karnataka, India",1.0,77.649492,12.884342
"Mallasandra,Bangalore,Karnataka,India","Mallasandra, Bengaluru, Karnataka 560062, India",1.0,77.541551,12.859291
"Begur,Bangalore,Karnataka,India","Begur, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.639986,12.887245
"JP Nagar,Bangalore,Karnataka,India","JP Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.586607,12.909694
"Sunder Ram Shetty Nagar,Bangalore,Karnataka,India","Sundar Ram Shetty Nagar, Bilekahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.601649,12.896148
"Malleshpalya,Bangalore,Karnataka,India","Malleshpalya, Kaggadasapura, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.674353,12.974413
"Kodathi,Bangalore,Karnataka,India","Kodathi, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.715899,12.887262
"Munnekollal,Bangalore,Karnataka,India","Munnekollal, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.712251,12.9556
"Motappa Layout,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.683333,77.5913,12.97912
"Akshaya Vana,Bangalore,Karnataka,India","Akshaya Vana, Akshayanagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.617495,12.86615
"Kaggalipura,Bangalore,Karnataka,India","Kaggalipura, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.508244,12.801699
"Basavanna Nagar,Bangalore,Karnataka,India","Basavanna Nagar, Hubli, Dharwad, Karnataka, India",0.772222,75.14536,15.333791
